-------------------------------------------------
Vardas           Pavarde        Galutinis (Vid.)
-------------------------------------------------
Vardas1           Pavarde1            5.12           
Vardas2           Pavarde2            7.00           
Vardas9           Pavarde9            8.64           
Vardas11          Pavarde11           6.48           
Vardas12          Pavarde12           7.32           
Vardas13          Pavarde13           7.28           
Vardas18          Pavarde18           7.64           
Vardas20          Pavarde20           5.24           
Vardas21          Pavarde21           7.20           
Vardas22          Pavarde22           5.80           
Vardas24          Pavarde24           6.68           
Vardas25          Pavarde25           6.92           
Vardas30          Pavarde30           5.16           
Vardas33          Pavarde33           7.44           
Vardas35          Pavarde35           8.12           
Vardas39          Pavarde39           7.20           
Vardas40          Pavarde40           6.52           
Vardas41          Pavarde41           8.16           
Vardas42          Pavarde42           8.00           
Vardas44          Pavarde44           7.64           
Vardas45          Pavarde45           6.16           
Vardas47          Pavarde47           6.28           
Vardas53          Pavarde53           7.88           
Vardas54          Pavarde54           8.56           
Vardas57          Pavarde57           7.08           
Vardas59          Pavarde59           6.12           
Vardas61          Pavarde61           7.64           
Vardas63          Pavarde63           5.80           
Vardas64          Pavarde64           7.40           
Vardas66          Pavarde66           6.68           
Vardas70          Pavarde70           6.64           
Vardas71          Pavarde71           8.56           
Vardas72          Pavarde72           7.52           
Vardas76          Pavarde76           7.52           
Vardas77          Pavarde77           6.60           
Vardas78          Pavarde78           5.04           
Vardas79          Pavarde79           6.36           
Vardas80          Pavarde80           5.96           
Vardas88          Pavarde88           7.76           
Vardas91          Pavarde91           6.56           
Vardas92          Pavarde92           8.64           
Vardas93          Pavarde93           8.40           
Vardas95          Pavarde95           5.64           
Vardas96          Pavarde96           8.64           
Vardas97          Pavarde97           7.72           
Vardas98          Pavarde98           5.56           
Vardas105         Pavarde105          6.44           
Vardas106         Pavarde106          7.84           
Vardas107         Pavarde107          7.72           
Vardas108         Pavarde108          6.96           
Vardas111         Pavarde111          5.76           
Vardas112         Pavarde112          5.92           
Vardas114         Pavarde114          5.20           
Vardas115         Pavarde115          6.88           
Vardas116         Pavarde116          8.32           
Vardas117         Pavarde117          7.76           
Vardas120         Pavarde120          6.32           
Vardas122         Pavarde122          5.16           
Vardas124         Pavarde124          5.68           
Vardas125         Pavarde125          7.00           
Vardas128         Pavarde128          7.60           
Vardas129         Pavarde129          8.56           
Vardas130         Pavarde130          5.12           
Vardas131         Pavarde131          8.36           
Vardas134         Pavarde134          8.72           
Vardas141         Pavarde141          6.08           
Vardas142         Pavarde142          7.44           
Vardas143         Pavarde143          6.76           
Vardas144         Pavarde144          6.16           
Vardas145         Pavarde145          7.12           
Vardas152         Pavarde152          6.80           
Vardas153         Pavarde153          6.00           
Vardas154         Pavarde154          5.40           
Vardas155         Pavarde155          5.40           
Vardas156         Pavarde156          7.76           
Vardas160         Pavarde160          7.24           
Vardas161         Pavarde161          6.36           
Vardas162         Pavarde162          5.36           
