Vardas                Pavarde               ND1       ND2       ND3       ND4       ND5       Egz.      
Vardas1               Pavarde1              8         7         0         4         0         6         
Vardas2               Pavarde2              5         0         2         5         8         9         
Vardas3               Pavarde3              1         3         0         4         5         6         
Vardas4               Pavarde4              6         10        3         8         9         2         
Vardas5               Pavarde5              2         8         5         10        1         4         
Vardas6               Pavarde6              0         2         6         6         7         3         
Vardas7               Pavarde7              2         2         7         10        1         3         
Vardas8               Pavarde8              7         8         8         0         0         5         
Vardas9               Pavarde9              10        4         5         10        4         10        
Vardas10              Pavarde10             5         0         6         2         3         4         
Vardas11              Pavarde11             5         4         7         0         5         8         
Vardas12              Pavarde12             9         1         3         9         2         9         
Vardas13              Pavarde13             9         0         1         3         3         10        
Vardas14              Pavarde14             7         5         10        4         3         3         
Vardas15              Pavarde15             5         3         5         0         5         2         
Vardas16              Pavarde16             5         2         7         10        1         1         
Vardas17              Pavarde17             8         4         8         2         10        4         
Vardas18              Pavarde18             1         3         10        10        4         9         
Vardas19              Pavarde19             4         10        1         0         6         1         
Vardas20              Pavarde20             10        4         9         2         3         5         
Vardas21              Pavarde21             1         0         4         10        0         10        
Vardas22              Pavarde22             9         3         0         7         1         7         
Vardas23              Pavarde23             0         1         3         2         8         6         
Vardas24              Pavarde24             0         4         9         8         10        7         
Vardas25              Pavarde25             6         0         5         1         7         9         
Vardas26              Pavarde26             4         8         1         0         2         1         
Vardas27              Pavarde27             6         4         1         0         2         3         
Vardas28              Pavarde28             8         9         6         7         8         3         
Vardas29              Pavarde29             7         0         0         3         5         0         
Vardas30              Pavarde30             4         2         5         7         9         5         
Vardas31              Pavarde31             0         0         3         2         2         4         
Vardas32              Pavarde32             10        4         2         0         4         2         
Vardas33              Pavarde33             5         0         3         0         10        10        
Vardas34              Pavarde34             6         6         5         5         10        1         
Vardas35              Pavarde35             7         8         8         6         5         9         
Vardas36              Pavarde36             5         9         4         10        3         4         
Vardas37              Pavarde37             5         0         3         2         5         4         
Vardas38              Pavarde38             7         8         9         6         9         0         
Vardas39              Pavarde39             3         1         3         0         8         10        
Vardas40              Pavarde40             7         3         8         8         3         7         
Vardas41              Pavarde41             3         10        9         4         1         10        
Vardas42              Pavarde42             0         8         0         10        7         10        
Vardas43              Pavarde43             9         7         6         7         2         3         
Vardas44              Pavarde44             8         1         7         10        2         9         
Vardas45              Pavarde45             0         0         9         4         4         8         
Vardas46              Pavarde46             2         5         9         4         3         5         
Vardas47              Pavarde47             4         10        6         1         5         7         
Vardas48              Pavarde48             7         1         10        7         1         0         
Vardas49              Pavarde49             1         5         0         3         10        5         
Vardas50              Pavarde50             10        2         0         3         3         3         
Vardas51              Pavarde51             3         9         10        2         3         3         
Vardas52              Pavarde52             5         9         10        0         5         2         
Vardas53              Pavarde53             2         8         4         8         9         9         
Vardas54              Pavarde54             4         10        6         2         10        10        
Vardas55              Pavarde55             1         9         3         6         9         4         
Vardas56              Pavarde56             4         7         7         6         3         0         
Vardas57              Pavarde57             10        10        6         7         3         7         
Vardas58              Pavarde58             8         10        4         7         7         0         
Vardas59              Pavarde59             8         7         9         8         7         5         
Vardas60              Pavarde60             5         4         7         9         10        2         
Vardas61              Pavarde61             8         4         1         5         10        9         
Vardas62              Pavarde62             8         2         3         8         0         1         
Vardas63              Pavarde63             5         8         10        3         9         5         
Vardas64              Pavarde64             4         2         10        6         3         9         
Vardas65              Pavarde65             10        0         0         1         2         3         
Vardas66              Pavarde66             10        8         0         7         6         7         
Vardas67              Pavarde67             4         10        2         3         10        0         
Vardas68              Pavarde68             1         5         8         4         1         3         
Vardas69              Pavarde69             2         4         2         5         1         4         
Vardas70              Pavarde70             0         6         9         5         3         8         
Vardas71              Pavarde71             4         8         7         8         5         10        
Vardas72              Pavarde72             9         5         9         3         8         8         
Vardas73              Pavarde73             2         8         3         1         5         0         
Vardas74              Pavarde74             5         0         7         2         3         4         
Vardas75              Pavarde75             2         6         0         7         4         5         
Vardas76              Pavarde76             7         0         3         8         1         10        
Vardas77              Pavarde77             0         3         1         9         2         9         
Vardas78              Pavarde78             6         2         10        10        5         4         
Vardas79              Pavarde79             3         8         4         10        2         7         
Vardas80              Pavarde80             10        2         1         5         4         7         
Vardas81              Pavarde81             6         3         8         3         3         5         
Vardas82              Pavarde82             7         1         8         2         0         4         
Vardas83              Pavarde83             8         9         7         2         9         2         
Vardas84              Pavarde84             2         10        1         6         7         1         
Vardas85              Pavarde85             7         6         3         7         1         0         
Vardas86              Pavarde86             1         3         7         0         9         0         
Vardas87              Pavarde87             8         2         0         1         8         3         
Vardas88              Pavarde88             9         0         9         10        9         8         
Vardas89              Pavarde89             2         2         7         4         10        1         
Vardas90              Pavarde90             6         2         4         0         6         2         
Vardas91              Pavarde91             9         7         2         4         0         8         
Vardas92              Pavarde92             7         6         3         7         10        10        
Vardas93              Pavarde93             0         10        3         7         10        10        
Vardas94              Pavarde94             2         5         4         5         10        4         
Vardas95              Pavarde95             0         3         2         6         7         7         
Vardas96              Pavarde96             10        0         10        8         5         10        
Vardas97              Pavarde97             7         5         3         4         10        9         
Vardas98              Pavarde98             8         7         10        2         5         5         
Vardas99              Pavarde99             0         2         7         7         10        2         
Vardas100             Pavarde100            0         10        9         3         7         0         
Vardas101             Pavarde101            1         2         6         5         4         4         
Vardas102             Pavarde102            9         10        1         6         3         2         
Vardas103             Pavarde103            6         3         0         6         8         2         
Vardas104             Pavarde104            0         4         2         3         1         0         
Vardas105             Pavarde105            5         5         5         9         4         7         
Vardas106             Pavarde106            9         2         6         0         6         10        
Vardas107             Pavarde107            3         8         3         5         10        9         
Vardas108             Pavarde108            0         8         8         7         4         8         
Vardas109             Pavarde109            5         10        9         0         5         3         
Vardas110             Pavarde110            3         0         4         4         10        3         
Vardas111             Pavarde111            3         4         8         9         3         6         
