-------------------------------------------------
Vardas           Pavarde        Galutinis (Vid.)
-------------------------------------------------
Vardas101        Pavarde101          0.48           
Vardas742        Pavarde742          0.56           
Vardas892        Pavarde892          0.72           
Vardas552        Pavarde552          0.80           
Vardas850        Pavarde850          0.88           
Vardas42         Pavarde42           1.04           
Vardas788        Pavarde788          1.04           
Vardas612        Pavarde612          1.12           
Vardas641        Pavarde641          1.12           
Vardas406        Pavarde406          1.12           
Vardas881        Pavarde881          1.20           
Vardas625        Pavarde625          1.20           
Vardas472        Pavarde472          1.28           
Vardas405        Pavarde405          1.28           
Vardas921        Pavarde921          1.32           
Vardas593        Pavarde593          1.36           
Vardas971        Pavarde971          1.36           
Vardas722        Pavarde722          1.44           
Vardas730        Pavarde730          1.44           
Vardas823        Pavarde823          1.44           
Vardas482        Pavarde482          1.44           
Vardas478        Pavarde478          1.44           
Vardas475        Pavarde475          1.44           
Vardas252        Pavarde252          1.44           
Vardas3          Pavarde3            1.44           
Vardas458        Pavarde458          1.44           
Vardas638        Pavarde638          1.52           
Vardas21         Pavarde21           1.52           
Vardas79         Pavarde79           1.52           
Vardas135        Pavarde135          1.52           
Vardas684        Pavarde684          1.60           
Vardas897        Pavarde897          1.60           
Vardas281        Pavarde281          1.60           
Vardas776        Pavarde776          1.68           
Vardas441        Pavarde441          1.68           
Vardas877        Pavarde877          1.72           
Vardas968        Pavarde968          1.72           
Vardas166        Pavarde166          1.76           
Vardas285        Pavarde285          1.76           
Vardas39         Pavarde39           1.76           
Vardas605        Pavarde605          1.76           
Vardas994        Pavarde994          1.76           
Vardas637        Pavarde637          1.76           
Vardas646        Pavarde646          1.76           
Vardas465        Pavarde465          1.76           
Vardas925        Pavarde925          1.76           
Vardas80         Pavarde80           1.76           
Vardas603        Pavarde603          1.80           
Vardas859        Pavarde859          1.84           
Vardas958        Pavarde958          1.84           
Vardas123        Pavarde123          1.84           
Vardas379        Pavarde379          1.84           
Vardas849        Pavarde849          1.84           
Vardas639        Pavarde639          1.84           
Vardas530        Pavarde530          1.84           
Vardas209        Pavarde209          1.84           
Vardas512        Pavarde512          1.84           
Vardas11         Pavarde11           1.88           
Vardas251        Pavarde251          1.92           
Vardas403        Pavarde403          1.92           
Vardas666        Pavarde666          1.92           
Vardas66         Pavarde66           1.92           
Vardas708        Pavarde708          1.92           
Vardas604        Pavarde604          1.92           
Vardas878        Pavarde878          1.92           
Vardas270        Pavarde270          1.92           
Vardas966        Pavarde966          1.92           
Vardas289        Pavarde289          1.92           
Vardas986        Pavarde986          1.96           
Vardas771        Pavarde771          2.00           
Vardas4          Pavarde4            2.00           
Vardas713        Pavarde713          2.00           
Vardas110        Pavarde110          2.00           
Vardas526        Pavarde526          2.00           
Vardas6          Pavarde6            2.00           
Vardas368        Pavarde368          2.00           
Vardas790        Pavarde790          2.00           
Vardas67         Pavarde67           2.04           
Vardas58         Pavarde58           2.04           
Vardas570        Pavarde570          2.04           
Vardas476        Pavarde476          2.04           
Vardas128        Pavarde128          2.08           
Vardas277        Pavarde277          2.08           
Vardas726        Pavarde726          2.08           
Vardas384        Pavarde384          2.12           
Vardas189        Pavarde189          2.12           
Vardas105        Pavarde105          2.12           
Vardas450        Pavarde450          2.12           
Vardas659        Pavarde659          2.12           
Vardas786        Pavarde786          2.12           
Vardas219        Pavarde219          2.16           
Vardas717        Pavarde717          2.16           
Vardas348        Pavarde348          2.16           
Vardas508        Pavarde508          2.16           
Vardas672        Pavarde672          2.16           
Vardas399        Pavarde399          2.16           
Vardas814        Pavarde814          2.20           
Vardas751        Pavarde751          2.20           
Vardas257        Pavarde257          2.20           
Vardas727        Pavarde727          2.24           
Vardas72         Pavarde72           2.24           
Vardas564        Pavarde564          2.24           
Vardas1          Pavarde1            2.24           
Vardas733        Pavarde733          2.24           
Vardas545        Pavarde545          2.28           
Vardas103        Pavarde103          2.28           
Vardas860        Pavarde860          2.28           
Vardas208        Pavarde208          2.28           
