Vardas                Pavarde               ND1       ND2       ND3       ND4       ND5       Egz.      
Vardas1               Pavarde1              9         6         4         10        0         6         
Vardas2               Pavarde2              10        9         10        10        1         7         
Vardas3               Pavarde3              0         3         4         2         5         7         
Vardas4               Pavarde4              9         2         3         10        0         7         
Vardas5               Pavarde5              7         0         9         1         7         6         
Vardas6               Pavarde6              4         2         7         10        2         9         
Vardas7               Pavarde7              9         0         9         0         7         2         
Vardas8               Pavarde8              2         1         6         4         10        2         
Vardas9               Pavarde9              7         1         9         10        6         0         
Vardas10              Pavarde10             9         2         1         3         2         7         
Vardas11              Pavarde11             5         1         3         9         6         3         
Vardas12              Pavarde12             1         5         5         5         2         2         
Vardas13              Pavarde13             8         3         9         3         0         6         
Vardas14              Pavarde14             3         3         5         8         10        4         
Vardas15              Pavarde15             3         3         3         7         5         7         
Vardas16              Pavarde16             2         1         4         5         0         1         
Vardas17              Pavarde17             1         8         9         3         8         8         
Vardas18              Pavarde18             10        8         9         2         7         6         
Vardas19              Pavarde19             4         4         9         9         10        7         
Vardas20              Pavarde20             3         3         6         7         9         0         
Vardas21              Pavarde21             6         10        9         3         9         6         
Vardas22              Pavarde22             0         4         5         7         9         10        
Vardas23              Pavarde23             8         2         1         5         2         7         
Vardas24              Pavarde24             8         0         1         10        0         5         
Vardas25              Pavarde25             2         5         3         2         6         3         
Vardas26              Pavarde26             1         9         5         3         5         7         
Vardas27              Pavarde27             6         8         6         8         3         6         
Vardas28              Pavarde28             4         10        5         4         6         5         
Vardas29              Pavarde29             1         3         8         9         4         0         
Vardas30              Pavarde30             10        5         4         8         8         6         
Vardas31              Pavarde31             4         7         2         1         0         1         
Vardas32              Pavarde32             8         0         8         5         9         8         
Vardas33              Pavarde33             10        2         6         9         4         4         
Vardas34              Pavarde34             10        6         10        2         7         1         
Vardas35              Pavarde35             6         3         5         8         3         3         
Vardas36              Pavarde36             5         9         3         4         4         2         
Vardas37              Pavarde37             6         9         9         9         9         5         
Vardas38              Pavarde38             6         3         3         8         6         1         
Vardas39              Pavarde39             8         7         8         0         0         5         
Vardas40              Pavarde40             6         10        1         10        8         2         
Vardas41              Pavarde41             0         5         3         7         8         3         
Vardas42              Pavarde42             4         1         1         5         0         8         
Vardas43              Pavarde43             3         4         8         7         0         0         
Vardas44              Pavarde44             3         1         10        0         4         2         
Vardas45              Pavarde45             0         5         0         4         8         1         
Vardas46              Pavarde46             2         7         3         4         6         2         
Vardas47              Pavarde47             2         5         0         2         3         10        
Vardas48              Pavarde48             1         4         0         9         9         10        
Vardas49              Pavarde49             0         0         1         2         6         3         
Vardas50              Pavarde50             2         7         4         9         0         6         
Vardas51              Pavarde51             9         6         6         1         6         7         
Vardas52              Pavarde52             8         1         1         2         0         2         
Vardas53              Pavarde53             2         3         1         0         2         7         
Vardas54              Pavarde54             4         4         1         9         0         10        
Vardas55              Pavarde55             2         7         10        7         2         5         
Vardas56              Pavarde56             8         3         6         6         1         3         
Vardas57              Pavarde57             9         0         0         6         3         1         
Vardas58              Pavarde58             10        8         8         1         5         4         
Vardas59              Pavarde59             2         8         6         9         7         8         
Vardas60              Pavarde60             10        6         5         6         8         4         
Vardas61              Pavarde61             9         3         9         7         5         5         
Vardas62              Pavarde62             2         1         8         5         5         10        
Vardas63              Pavarde63             5         7         10        4         1         2         
Vardas64              Pavarde64             0         9         6         8         9         6         
Vardas65              Pavarde65             4         7         4         4         3         5         
Vardas66              Pavarde66             3         3         6         8         1         7         
Vardas67              Pavarde67             6         1         8         2         5         2         
Vardas68              Pavarde68             0         7         5         1         2         5         
Vardas69              Pavarde69             3         1         8         8         7         8         
Vardas70              Pavarde70             10        4         9         9         2         7         
Vardas71              Pavarde71             6         3         0         5         10        0         
Vardas72              Pavarde72             0         10        0         1         9         5         
Vardas73              Pavarde73             8         7         4         8         3         4         
Vardas74              Pavarde74             7         7         0         2         3         6         
Vardas75              Pavarde75             0         8         7         3         0         0         
Vardas76              Pavarde76             8         9         2         9         7         4         
Vardas77              Pavarde77             8         2         2         7         9         7         
Vardas78              Pavarde78             1         5         10        4         2         6         
Vardas79              Pavarde79             10        0         5         3         2         7         
Vardas80              Pavarde80             3         7         5         6         9         3         
Vardas81              Pavarde81             8         8         2         9         4         8         
Vardas82              Pavarde82             3         10        4         0         4         5         
Vardas83              Pavarde83             4         0         3         0         0         5         
Vardas84              Pavarde84             7         5         5         5         10        9         
Vardas85              Pavarde85             7         1         10        3         7         4         
Vardas86              Pavarde86             0         3         1         0         8         1         
Vardas87              Pavarde87             2         0         10        5         9         6         
Vardas88              Pavarde88             2         3         9         9         7         6         
Vardas89              Pavarde89             6         8         5         4         2         8         
Vardas90              Pavarde90             9         8         9         3         7         8         
Vardas91              Pavarde91             7         6         6         1         2         2         
Vardas92              Pavarde92             3         7         0         8         7         10        
Vardas93              Pavarde93             10        3         10        8         8         6         
Vardas94              Pavarde94             7         0         8         6         3         6         
Vardas95              Pavarde95             4         7         5         3         6         1         
Vardas96              Pavarde96             5         3         2         8         7         8         
Vardas97              Pavarde97             3         5         6         6         0         5         
Vardas98              Pavarde98             4         7         7         9         0         8         
Vardas99              Pavarde99             6         6         3         6         3         5         
Vardas100             Pavarde100            5         3         6         7         1         7         
Vardas101             Pavarde101            3         8         4         2         5         8         
Vardas102             Pavarde102            3         9         4         6         4         2         
Vardas103             Pavarde103            10        8         6         5         1         9         
Vardas104             Pavarde104            5         10        10        6         8         2         
Vardas105             Pavarde105            5         2         5         3         1         1         
Vardas106             Pavarde106            9         5         3         8         10        8         
Vardas107             Pavarde107            6         6         5         4         3         3         
Vardas108             Pavarde108            9         4         1         4         8         7         
Vardas109             Pavarde109            3         5         0         1         5         3         
Vardas110             Pavarde110            7         1         3         8         2         10        
Vardas111             Pavarde111            7         9         5         8         1         6         
Vardas112             Pavarde112            10        9         9         3         10        10        
Vardas113             Pavarde113            0         7         8         1         3         5         
Vardas114             Pavarde114            3         9         7         9         10        7         
Vardas115             Pavarde115            1         1         9         0         3         1         
Vardas116             Pavarde116            1         10        10        6         9         9         
Vardas117             Pavarde117            1         2         7         9         6         9         
Vardas118             Pavarde118            1         4         5         0         10        7         
Vardas119             Pavarde119            2         3         4         4         4         6         
Vardas120             Pavarde120            4         3         7         1         6         1         
Vardas121             Pavarde121            6         10        5         7         8         7         
Vardas122             Pavarde122            5         10        2         7         9         8         
Vardas123             Pavarde123            2         4         7         2         3         9         
Vardas124             Pavarde124            7         7         6         2         0         1         
Vardas125             Pavarde125            1         2         1         9         1         1         
Vardas126             Pavarde126            5         1         9         6         5         8         
Vardas127             Pavarde127            9         2         9         1         10        3         
Vardas128             Pavarde128            10        8         2         3         8         2         
Vardas129             Pavarde129            2         10        5         3         6         1         
Vardas130             Pavarde130            1         8         1         7         1         6         
Vardas131             Pavarde131            5         6         7         2         4         0         
Vardas132             Pavarde132            2         2         4         0         3         5         
Vardas133             Pavarde133            3         5         7         8         4         2         
Vardas134             Pavarde134            6         0         10        0         4         4         
Vardas135             Pavarde135            0         9         3         3         2         0         
Vardas136             Pavarde136            0         2         0         8         1         10        
Vardas137             Pavarde137            1         3         4         10        3         7         
Vardas138             Pavarde138            10        5         10        0         3         9         
Vardas139             Pavarde139            3         9         0         4         7         5         
Vardas140             Pavarde140            7         9         0         6         2         7         
Vardas141             Pavarde141            0         8         4         1         0         6         
Vardas142             Pavarde142            8         5         6         6         10        10        
Vardas143             Pavarde143            9         5         8         8         2         9         
Vardas144             Pavarde144            7         10        8         6         10        6         
Vardas145             Pavarde145            2         6         10        6         10        6         
Vardas146             Pavarde146            1         5         7         3         3         8         
Vardas147             Pavarde147            9         9         4         4         9         4         
Vardas148             Pavarde148            2         8         3         2         5         8         
Vardas149             Pavarde149            10        0         4         0         8         4         
Vardas150             Pavarde150            9         3         9         10        2         2         
Vardas151             Pavarde151            0         7         3         8         5         5         
Vardas152             Pavarde152            5         6         8         8         5         5         
Vardas153             Pavarde153            5         4         9         5         9         8         
Vardas154             Pavarde154            9         0         6         2         9         1         
Vardas155             Pavarde155            2         1         5         10        8         2         
Vardas156             Pavarde156            8         8         6         4         0         0         
Vardas157             Pavarde157            10        2         3         1         6         6         
Vardas158             Pavarde158            5         4         10        7         9         7         
